NUEVO_ID,ATSEG,Predicted,Prob_SEG_A,Prob_SEG_B,Prob_SEG_C,Max_Prob,ORAL_TRX_mean,UC_TRX_mean,TOTAL_TRX_mean,N_CLMOTHERS_mean,IL23_TRX_mean
8524,SEG_B,SEG_A,0.9384905695915222,0.04775272682309151,0.0137566477060318,0.9384905695915222,0.0,0.0219786067798414,-0.2948015687207197,0.1162790697674418,0.0
16432,SEG_C,SEG_A,0.9332755208015442,0.0555596724152565,0.011164786294102669,0.9332755208015442,0.0,0.0,-0.316288484073719,0.0,0.0
8460,SEG_B,SEG_C,0.002001893939450383,0.06930495798587799,0.9286931753158569,0.9286931753158569,0.476402547023336,7.379286144452582,5.994650534373295,8.048394542615258,0.2939503243092528
17365,SEG_B,SEG_A,0.928127646446228,0.056537456810474396,0.015334933064877987,0.928127646446228,0.0,0.0,-0.316288484073719,0.0232558139534883,0.0
5088,SEG_B,SEG_C,0.0015703471144661307,0.07604322582483292,0.9223864078521729,0.9223864078521729,0.5529979187531248,7.552692040905661,6.179935020840787,8.707611861625159,0.4218412130804154
17036,SEG_B,SEG_A,0.922102689743042,0.059563037008047104,0.0183342844247818,0.922102689743042,0.0,0.0,-0.3130430258571354,0.5581395348837209,0.0
2908,SEG_B,SEG_A,0.9199949502944946,0.05358859896659851,0.02641645260155201,0.9199949502944946,0.0,0.0660777322477072,-0.2413704257000652,0.0813953488372093,0.0
8186,SEG_B,SEG_A,0.9189239740371704,0.04246150702238083,0.03861454129219055,0.9189239740371704,0.0,0.2095684104092384,-0.1869581316341512,0.127906976744186,0.0151817003633448
10842,SEG_B,SEG_A,0.9184129238128662,0.06477953493595123,0.016807617619633675,0.9184129238128662,0.0,0.0086921043762084,-0.3077908339341147,0.0116279069767441,0.0
422,SEG_C,SEG_B,0.019713355228304863,0.9179895520210266,0.06229705736041069,0.9179895520210266,0.2416157749920015,2.37219058769269,1.864622760848477,1.976744186046512,0.0649883720930232
4669,SEG_C,SEG_A,0.9177043437957764,0.06295090913772583,0.01934467814862728,0.9177043437957764,0.0,0.0,-0.316288484073719,0.0,0.0
16658,SEG_A,SEG_B,0.0254992563277483,0.9165136814117432,0.057987045496702194,0.9165136814117432,0.535848554573477,4.818818826988681,4.167148174946464,1.058139534883721,0.0115116279069767
4614,SEG_C,SEG_B,0.017340322956442833,0.9141336679458618,0.06852603703737259,0.9141336679458618,0.2546655554210242,1.9908555514164583,1.5049637229321535,1.569767441860465,0.0022255813953488
16195,SEG_B,SEG_A,0.9127721786499023,0.0683588758111,0.018868928775191307,0.9127721786499023,0.0,0.1648306813545491,-0.1435557834808654,0.5697674418604651,0.0
15467,SEG_B,SEG_A,0.9120093584060669,0.05986941233277321,0.028121300041675568,0.9120093584060669,0.0,0.0,-0.2217310679539492,0.0,0.0
1890,SEG_C,SEG_B,0.011475115083158016,0.9111901521682739,0.07733473181724548,0.9111901521682739,0.3164031160369134,2.305004168662303,1.7947433957264969,1.197674418604651,0.038560465116279
7511,SEG_B,SEG_C,0.0030750224832445383,0.08689180761575699,0.9100332260131836,0.9100332260131836,0.5465069575935334,7.552692040905661,6.197780328637101,8.707352038131217,0.4262706831022857
3495,SEG_B,SEG_A,0.9057066440582275,0.06348881870508194,0.030804507434368134,0.9057066440582275,0.0,0.0,-0.2750073704108354,0.0,0.0
7449,SEG_C,SEG_A,0.90386563539505,0.053073227405548096,0.04306109994649887,0.90386563539505,0.0,0.1547726748620793,-0.1775823070500767,0.2790697674418604,0.0
