Model,Accuracy,F1_Score,Kappa,SEG_A,SEG_B,SEG_C,Balanced_Score
XGBoost (Weighted),0.6609243697478991,0.5874892075716112,0.41805888129359836,0.8220140515222483,0.517910447761194,0.40326340326340326,0.5810626341822819
Logistic Regression,0.6508403361344538,0.5714755409472086,0.40326346796800683,0.819672131147541,0.5014925373134328,0.37995337995337997,0.5670393494714512
Extra Trees,0.6596638655462185,0.5630635615233389,0.4028371276831363,0.8477751756440282,0.5462686567164179,0.27505827505827507,0.5563673691395737
Gradient Boosting,0.6626050420168067,0.5623495030556681,0.4034577562914834,0.8665105386416861,0.5194029850746269,0.2773892773892774,0.5544342670351968
Random Forest (Balanced),0.661344537815126,0.5474197989592988,0.3957293943244654,0.8719750195160031,0.5447761194029851,0.21445221445221446,0.5437344511237342
AdaBoost,0.6546218487394958,0.49943324630830155,0.3653448631590148,0.9016393442622951,0.5388059701492537,0.0979020979020979,0.5127824707712155
SVM (RBF),0.21134453781512605,0.17346008233337992,-0.019949153916141604,0.08118657298985169,0.049253731343283584,0.8531468531468531,0.32786238582666277
