iter	Passed	Remaining
408	1530	340
409	1534	336
410	1538	333
411	1542	329
412	1545	325
413	1548	321
414	1552	317
415	1557	314
416	1560	310
417	1564	306
418	1567	303
419	1572	299
420	1575	295
421	1579	291
422	1583	288
423	1587	284
424	1591	280
425	1594	277
426	1598	273
427	1601	269
428	1606	265
429	1610	262
430	1613	258
431	1616	254
432	1620	250
433	1623	246
434	1627	243
435	1630	239
436	1634	235
437	1638	231
438	1641	228
439	1645	224
440	1648	220
441	1652	216
442	1656	213
443	1659	209
444	1663	205
445	1666	201
446	1671	198
447	1675	194
448	1679	190
449	1683	187
450	1687	183
451	1691	179
452	1694	175
453	1697	172
454	1702	168
455	1706	164
456	1709	160
457	1713	157
458	1716	153
459	1720	149
460	1724	145
461	1728	142
462	1731	138
463	1736	134
464	1739	130
465	1743	127
466	1747	123
467	1752	119
468	1755	116
469	1759	112
470	1762	108
471	1766	104
472	1770	101
473	1774	97
474	1777	93
475	1781	89
476	1785	86
477	1789	82
478	1792	78
479	1795	74
480	1800	71
481	1803	67
482	1807	63
483	1810	59
484	1814	56
485	1818	52
486	1822	48
487	1825	44
488	1829	41
489	1833	37
490	1837	33
491	1841	29
492	1844	26
493	1848	22
494	1853	18
495	1856	14
496	1860	11
497	1864	7
498	1868	3
499	1871	0
