iter	MultiClass
393	0.856513991
394	0.8562952713
395	0.8560373586
396	0.8559767914
397	0.8557492922
398	0.8555056539
399	0.855465408
400	0.8554310644
401	0.8553256478
402	0.8551427232
403	0.8549447657
404	0.8548030057
405	0.8546424917
406	0.8545390755
407	0.8543361518
408	0.8541231143
409	0.8538460934
410	0.8535596546
411	0.8532808423
412	0.8530991423
413	0.8528017065
414	0.8526921753
415	0.8524580077
416	0.8523010833
417	0.8520113655
418	0.8518280285
419	0.8516513476
420	0.851391323
421	0.8513047168
422	0.8509631227
423	0.8508168408
424	0.8506288308
425	0.8505337557
426	0.8503651971
427	0.8502769098
428	0.8500095372
429	0.8497935692
430	0.8496610368
431	0.8495915004
432	0.8494138176
433	0.8493588554
434	0.8491568045
435	0.8489571138
436	0.8488785391
437	0.8487092312
438	0.8484651181
439	0.8483098449
440	0.8482368693
441	0.8480421603
442	0.8479086532
443	0.8477126752
444	0.8475672915
445	0.8474629689
446	0.8472385067
447	0.8469667028
448	0.8467948787
449	0.8465576093
450	0.8464515547
451	0.8462644459
452	0.8460590945
453	0.845900837
454	0.845760652
455	0.845435078
456	0.8453507984
457	0.8451572957
458	0.8449894272
459	0.8447418671
460	0.8445322137
461	0.8443393789
462	0.8442402814
463	0.8440960084
464	0.8438508155
465	0.8436347748
466	0.8433365583
467	0.8431360054
468	0.8430634216
469	0.842954918
470	0.8427801181
471	0.8426975464
472	0.8425052117
473	0.8424486519
474	0.8422597705
475	0.8421598325
476	0.8420557762
477	0.8419525619
478	0.8418619751
479	0.8418224472
480	0.8416003114
481	0.8413800293
482	0.8411793568
483	0.8408553929
484	0.8407610768
485	0.8405569828
486	0.8402957245
487	0.8400880543
488	0.8398295215
489	0.8396507646
490	0.8395561413
491	0.8393316687
492	0.8392288649
493	0.8390847463
494	0.8390246177
495	0.8388204574
496	0.8386095598
497	0.8384416431
498	0.8382423525
499	0.8380501712
